"시점",수출건수 (건),수출금액 (천불),수입건수 (건),수입금액 (천불),무역수지 (천불)
"2000.01",258896,12162425,246432,12594623,-432198
"2000.02",256293,12676042,242907,12023652,652390
"2000.03",313910,14429703,293016,14212011,217692
"2000.04",293464,13522040,268239,13344532,177508
"2000.05",315342,14636755,283452,13283356,1353399
"2000.06",322194,15250940,278240,13177511,2073428
"2000.07",310467,14455656,280739,13671876,783780
"2000.08",299915,14786880,283264,13441139,1345741
"2000.09",300684,15133379,269509,13291803,1841577
"2000.10",318444,15248068,292180,14104212,1143855
"2000.11",315351,14989068,288458,14160418,828650
"2000.12",300841,14976555,275778,13175885,1800670
"2001.01",234821,12644929,233344,12431023,213906
"2001.02",284932,13354074,245497,12732258,621816
"2001.03",317574,14124891,278842,12951886,1173005
"2001.04",295774,12121110,265093,11212192,908918
"2001.05",313861,13306959,277514,11554834,1752125
"2001.06",311870,12931941,271963,11718966,1212975
"2001.07",300533,11392257,274191,11107564,284693
"2001.08",299381,11766192,273851,11337826,428366
"2001.09",322033,12447324,275563,11709659,737665
"2001.10",299484,12086028,293412,11506884,579144
"2001.11",325647,12348967,302409,11532771,816196
"2001.12",297896,11914472,293607,11301958,612514
"2002.01",291034,11381879,285615,11326430,55450
"2002.02",268401,11023037,258175,10471161,551875
"2002.03",333218,13251323,313029,11990097,1261226
"2002.04",339477,13184534,331168,12559696,624838
"2002.05",363841,14173177,332749,12698101,1475075
"2002.06",337363,12894088,304697,11934221,959867
"2002.07",357760,13395179,324984,13031773,363406
"2002.08",336057,13959110,315194,12860751,1098359
"2002.09",326611,13900763,315391,12991557,909207
"2002.10",376342,15084659,347337,13817061,1267597
"2002.11",360108,15196561,341748,13993431,1203131
"2002.12",330953,15026217,331817,14451874,574343
"2003.01",322126,14319931,305366,14494967,-175036
"2003.02",312559,13337145,299032,13858274,-521129
"2003.03",355393,15378850,343932,15870217,-491367
"2003.04",364581,15720592,344261,14758747,961845
"2003.05",358783,14676092,322745,13523642,1152450
"2003.06",355037,15656327,324038,13428141,2228186
"2003.07",376885,15431714,339436,14898003,533711
"2003.08",338905,15375268,313698,13541360,1833909
"2003.09",360926,17021082,339351,14531444,2489639
"2003.10",414292,18929665,378038,16536628,2393037
"2003.11",376414,18242088,352506,15760750,2481338
"2003.12",382429,19728688,375055,17624485,2104203
"2004.01",311195,18987120,309241,16208879,2778241
"2004.02",364717,19136968,332071,17468564,1668403
"2004.03",410687,21174855,397762,19120078,2054777
"2004.04",403877,21483357,369963,18829952,2653405
"2004.05",390983,20834259,349851,17895384,2938875
"2004.06",411142,21657111,366727,18544350,3112761
"2004.07",409538,21003794,366973,18390091,2613703
"2004.08",363152,19798969,350915,18124364,1674604
"2004.09",377989,20831133,339633,18193347,2637786
"2004.10",407636,22663289,383786,20408216,2255073
"2004.11",395862,23076612,382084,20311965,2764647
"2004.12",387933,23197206,388162,20967497,2229709
"2005.01",349213,22454025,355036,19450003,3004023
"2005.02",312530,20401096,307644,18396908,2004188
"2005.03",411963,23952500,408439,22779866,1172634
"2005.04",399190,22872505,405755,21244490,1628014
"2005.05",397381,23122703,400277,21161778,1960925
"2005.06",406487,23707576,399463,21288597,2418979
"2005.07",405831,23235522,394972,21508824,1726698
"2005.08",384120,23342967,403592,22000828,1342138
"2005.09",411483,24519191,413255,22718657,1800534
"2005.10",414639,25352748,420250,22652735,2700013
"2005.11",419401,25826192,436228,23849552,1976641
"2005.12",408045,25631716,436900,24186026,1445691
"2006.01",351648,23257866,383558,23089304,168562
"2006.02",371893,23786956,386034,23507780,279176
"2006.03",436381,26840145,467820,25945007,895139
"2006.04",401694,25590123,432086,24485820,1104303
"2006.05",409298,27934507,439914,26210366,1724141
"2006.06",427156,27948805,445611,26023464,1925341
"2006.07",397554,25774350,416283,25549715,224635
"2006.08",403173,27287195,430998,27029461,257733
"2006.09",440171,29651247,463147,27636644,2014603
"2006.10",381388,28015959,432238,25621762,2394196
"2006.11",429798,30602313,470348,26765115,3837198
"2006.12",393646,28775383,448280,27518194,1257189
"2007.01",393233,28092561,445766,27560101,532459
"2007.02",351725,26225125,403233,25406152,818973
"2007.03",433150,30385840,472608,29295460,1090380
"2007.04",415352,29944456,488690,29596882,347574
"2007.05",425897,31039901,479976,29856937,1182964
"2007.06",427548,32000109,466916,28508098,3492011
"2007.07",430438,30207444,475429,29223201,984243
"2007.08",427265,30998134,472192,29642050,1356085
"2007.09",392388,29323535,434197,27193582,2129953
"2007.10",471196,34433813,530528,32741232,1692581
"2007.11",462660,35807893,512740,33926124,1881769
"2007.12",399916,33030276,485691,33895915,-865639
"2008.01",430349,32274575,506251,36318030,-4043456
"2008.02",391625,31178190,435537,32624334,-1446144
"2008.03",459431,35991776,530464,37110561,-1118785
"2008.04",474626,37850247,538047,38260401,-410154
"2008.05",457708,39383158,496920,38704468,678690
"2008.06",435416,37258608,488994,37827931,-569323
"2008.07",485053,40961223,516021,42952491,-1991267
"2008.08",422131,36610603,471477,40420447,-3809845
"2008.09",443949,37428303,499039,39528073,-2099770
"2008.10",474639,37111140,477364,36098774,1012365
"2008.11",393047,28841617,429153,28853646,-12029
"2008.12",366204,27117889,461608,26575580,542309
"2009.01",318086,21133405,397893,24898821,-3765416
"2009.02",380520,25397150,414169,22598094,2799056
"2009.03",437275,27890831,488378,23920622,3970209
"2009.04",463161,30326509,528741,24873845,5452663
"2009.05",420621,27823839,516240,23407033,4416806
"2009.06",459816,32210048,576058,25689293,6520755
"2009.07",497032,31908462,596970,27679764,4228698
"2009.08",434003,28949627,562740,27408191,1541437
"2009.09",507107,33922429,647017,29757140,4165288
"2009.10",489665,33970032,628574,30396532,3573500
"2009.11",494507,33991607,655742,29534690,4456917
"2009.12",498146,36009623,687023,32920497,3089126
"2010.01",458128,30735415,621065,31535995,-800580
"2010.02",443430,33039402,605614,31044126,1995276
"2010.03",553963,37308940,789991,35575754,1733187
"2010.04",556325,39301014,803387,35522367,3778646
"2010.05",522155,38887930,789682,34853570,4034360
"2010.06",536667,42049045,771576,35254773,6794272
"2010.07",550560,40423611,789781,35421718,5001893
"2010.08",494790,36480955,746969,35274964,1205991
"2010.09",488664,39410882,749139,35001780,4409103
"2010.10",551700,43340335,813150,37001095,6339241
"2010.11",540338,41260912,807241,38669304,2591608
"2010.12",541140,44145320,855444,40056714,4088606
"2011.01",500528,44465366,809456,41981323,2484043
"2011.02",434421,38467412,688625,36401588,2065824
"2011.03",570926,48052991,917262,45565952,2487039
"2011.04",543888,48536725,903307,44188522,4348204
"2011.05",528851,47331329,878762,45284932,2046397
"2011.06",539810,46736893,885444,44824772,1912121
"2011.07",537017,48950113,882662,44296129,4653984
"2011.08",508957,45792061,875817,45381680,410381
"2011.09",533014,46510965,917055,45279469,1231496
"2011.10",528580,46613480,908370,42709770,3903709
"2011.11",547122,46012595,917712,43010481,3002114
"2011.12",532251,47743725,1026800,45488471,2255254
"2012.01",451992,41200358,893026,43517291,-2316933
"2012.02",534949,46316184,960976,45099984,1216199
"2012.03",564264,47329817,1060246,45053406,2276411
"2012.04",539338,46094754,977137,43957176,2137579
"2012.05",566001,46872357,994804,44480339,2392018
"2012.06",552719,47162605,953327,41993629,5168976
"2012.07",578205,44667681,999660,41976900,2690781
"2012.08",543575,43045181,924833,41115675,1929506
"2012.09",555885,45412538,980236,42559535,2853003
"2012.10",554640,47087760,1006444,43379893,3707867
"2012.11",580722,47805246,1014047,43381537,4423709
"2012.12",511306,44875311,1077340,43069109,1806202
"2013.01",557156,45673109,1096373,45296942,376167
"2013.02",501317,42331837,934296,40458472,1873365
"2013.03",577064,47312704,1120738,43976739,3335965
"2013.04",601243,46157925,1183582,43648241,2509684
"2013.05",612604,48307560,1185659,42389874,5917686
"2013.06",555694,46690983,1066345,40719394,5971589
"2013.07",604350,45829521,1267308,43384403,2445117
"2013.08",555014,46311341,1202167,41593821,4717519
"2013.09",536059,44650486,1153118,41055405,3595081
"2013.10",626577,50480484,1312612,45604963,4875521
"2013.11",595321,47905028,1320938,43106074,4798954
"2013.12",564880,47981456,1501205,44351186,3630271
"2014.01",543502,45559632,1426765,44746013,813619
"2014.02",550079,42911735,1314508,42061554,850181
"2014.03",618379,49064392,1522225,45558675,3505717
"2014.04",640384,50267448,1553287,45873333,4394115
"2014.05",583813,47577183,1517623,42607483,4969700
"2014.06",578713,47827709,1261024,42476381,5351328
"2014.07",632663,48204545,1274159,45863916,2340630
"2014.08",549852,46108370,1175907,42791869,3316501
"2014.09",578064,47446217,1258099,44184712,3261506
"2014.10",632119,51630657,1350218,44097421,7533235
"2014.11",579736,46605342,1250274,41343254,5262088
"2014.12",596021,49461377,1398481,43909896,5551481
"2015.01",564950,45105389,1291482,39283025,5822365
"2015.02",486286,41472191,1055772,33998316,7473875
"2015.03",617622,46822771,1234193,38485935,8336836
"2015.04",617181,46221931,1262952,37858798,8363133
"2015.05",538336,42327311,1156314,36039800,6287511
"2015.06",591768,46554512,1261592,36598398,9956114
"2015.07",624081,45695747,1242927,38647067,7048680
"2015.08",534458,39107399,1122866,34772163,4335236
"2015.09",570620,43432312,1132354,34540504,8891809
"2015.10",610041,43352046,1237794,36762975,6589071
"2015.11",990181,44285052,1197759,34049682,10235370
"2015.12",693038,42379843,1263775,35462311,6917532
"2016.01",606149,36260420,1189202,31321901,4938519
"2016.02",576649,35924541,1094724,29163323,6761217
"2016.03",781866,43002468,1312593,33344423,9658045
"2016.04",671793,41081553,1292895,32388783,8692770
"2016.05",681598,39733794,1268189,33025444,6708349
"2016.06",706544,45209071,1264602,33890231,11318841
"2016.07",681887,40881700,1241613,33371802,7509898
"2016.08",662234,40124791,1282469,35103611,5021180
"2016.09",643926,40846252,1278727,33988443,6857809
"2016.10",641483,41983329,1362893,35050112,6933218
"2016.11",905021,45309141,1433631,37240858,8068283
"2016.12",714579,45068880,1495613,38303957,6764923
"2017.01",576924,40257000,1357603,37645403,2611597
"2017.02",646704,43166536,1380523,36203282,6963254
"2017.03",726472,48637832,1648350,42579492,6058340
"2017.04",648450,50843799,1509868,37959391,12884408
"2017.05",657406,44926979,1520646,39287764,5639215
"2017.06",747123,51272452,1601716,40551012,10721439
"2017.07",669225,48830440,1516149,38607157,10223283
"2017.08",712572,47105569,1572838,40549772,6555797
"2017.09",754236,55115240,1712522,41695884,13419356
"2017.10",578622,44791239,1450965,37856562,6934677
"2017.11",976542,49707197,1718846,42013512,7693685
"2017.12",728844,49040139,1701060,43529066,5511073
"2018.01",719184,49221291,1759125,45805322,3415969
"2018.02",581928,44523530,1503544,41722154,2801376
"2018.03",792813,51309932,1847813,44897838,6412094
"2018.04",727349,49850235,1762609,43693963,6156273
"2018.05",763659,50687750,1789768,44458729,6229021
"2018.06",788826,51079375,1730889,45000164,6079212
"2018.07",742392,51810255,1756375,44917044,6893211
"2018.08",734664,51180449,1777271,44360778,6819671
"2018.09",651137,50650208,1712344,41032928,9617280
"2018.10",760934,54860310,1958340,48480618,6379692
"2018.11",997647,51479530,1989739,46808199,4671331
"2018.12",689676,48206793,1971887,44024694,4182099
"2019.01",724445,46168934,2121240,45153389,1015545
"2019.02",621348,39481803,1748298,36651437,2830366
"2019.03",754196,47003206,2183681,41992349,5010857
"2019.04",791438,48781156,2188788,45047164,3733992
"2019.05",800751,45703948,2185460,43619667,2084281
"2019.06",796854,44008404,2049066,40104812,3903592
"2019.07",795298,46078221,2189639,43762245,2315976
"2019.08",794112,44020065,2065221,42457250,1562815
"2019.09",804837,44629053,2098148,38741473,5887580
"2019.10",916254,46648756,2271691,41396517,5252239
"2019.11",1218917,44040722,2391518,40729215,3311507
"2019.12",888689,45668341,2397132,43687430,1980912
"2020.01",735116,43103061,2339425,42718100,384960
"2020.02",798774,40911819,2377377,36977247,3934572
"2020.03",912933,46167204,2657543,41803860,4363344
"2020.04",766175,36270183,2296172,37932611,-1662429
"2020.05",799280,34854511,2316308,34661974,192537
"2020.06",985852,39214071,2354875,35794860,3419211
"2020.07",1031635,42785144,2514501,38849185,3935959
"2020.08",932166,39469231,2460518,35817929,3651302
"2020.09",1126451,47819948,2898693,39400190,8419758
"2020.10",1034425,44818534,2849716,39093795,5724739
"2020.11",1306444,45751883,2943680,39944763,5807120
"2020.12",1275069,51332449,3274735,44638246,6694203
"2021.01",1063782,48006974,3216535,44456822,3550152
"2021.02",991831,44706907,2779591,42404636,2302271
"2021.03",1439462,53690914,3298165,49742555,3948359
"2021.04",1184249,51225991,3346730,50891152,334840
"2021.05",1143835,50725161,3245257,47910522,2814640
"2021.06",1513595,54778905,3101662,50429027,4349878
"2021.07",1182251,55461518,3225209,53676256,1785262
"2021.08",1122015,53165104,3180345,51581093,1584011
"2021.09",1502399,55913862,3199940,51636341,4277521
"2021.10",1104157,55660373,3356096,53847824,1812548
"2021.11",1535829,60330542,3418506,57357549,2972993
"2021.12",1322594,60734117,3657650,61159671,-425554
"2022.01",1099657,55455376,3434132,60606721,-5151345
"2022.02",1017223,54155835,3131841,53482054,673782
"2022.03",1402774,63786835,3543893,63811102,-24267
"2022.04",1026850,57842816,3398506,60213185,-2370369
"2022.05",1100468,61591326,3365873,63168380,-1577053
"2022.06",1241223,57679934,3348993,60149906,-2469972
"2022.07",987619,60241774,3418441,65259838,-5018064
"2022.08",1121892,56605950,3391099,66027733,-9421783
"2022.09",1130411,57176300,3286725,61012837,-3836537
"2022.10",1020990,52428092,3325265,59167185,-6739094
"2022.11",1220043,51771855,3550752,58847655,-7075799
"2022.12",1084849,54848666,3491883,59623062,-4774396
"2023.01",898445,46339145,3286710,59037259,-12698113
"2023.02",932903,49994593,3306771,55370498,-5375905
"2023.03",1076334,54882484,3713236,59635920,-4753436
"2023.04",891503,49430879,3469134,51940137,-2509257
"2023.05",905038,52054195,3583435,54251194,-2197000
"2023.06",1017356,54297754,3572062,53055480,1242274
"2023.07",903488,50457776,3677608,48738114,1719662
"2023.08",936778,51994074,3687493,51009758,984316
"2023.09",1013530,54650691,3621292,50972525,3678167
"2023.10",945046,54989950,3963093,53440582,1549368
"2023.11",1137959,55561090,4123915,51997805,3563285
"2023.12",1040051,57573193,4198705,53122854,4450339
"2024.01",1035961,54771268,4276473,54357416,413853
"2024.02",906936,52423042,3659536,48084919,4338122
"2024.03",1021553,56571841,4615012,52280677,4291164
