id,x1,x2,x3,x4,x5,x6,y
1,2.8,4.68,4.87,-1,8.4,4.916,6.75
2,1.4,5.19,4.5,-1,6.5,4.563,13
3,1.4,4.82,4.73,-1,7.9,5.321,14.75
4,3.3,4.85,4.78,-1,8.3,4.865,12.6
5,1.7,4.86,4.95,-1,8.4,3.776,8.25
6,2.9,5.16,4.45,-1,7.4,4.397,10.37
7,3.7,4.82,5.05,-1,6.8,4.867,7.28
8,0.92,4.86,4.7,-1,8.6,4.828,12.67
9,0.68,4.78,4.84,-1,6.7,4.865,12.58
10,0.68,5.16,4.76,-1,7.7,4.034,20.6
11,6,4.57,4.82,-1,7.4,5.45,3.58
12,4.3,4.61,4.65,-1,6.7,4.853,7
13,0.6,5.07,5.1,-1,7.5,4.257,26.2
14,1.8,4.66,5.09,-1,8.2,5.144,11.67
15,6,5.42,4.41,-1,5.8,3.718,7.67
16,4.4,5.01,4.74,1,7.1,4.715,12.25
17,88,4.97,4.66,1,6.5,4.625,0.76
18,62,5.01,4.72,1,8,4.977,1.35
19,50,4.96,4.9,1,6.8,4.322,1.44
20,58,5.2,4.7,1,8.2,5.087,1.6
21,90,4.8,4.6,1,6.6,5.971,1.1
22,66,4.98,4.69,1,6.4,4.647,0.85
23,140,5.35,4.76,1,7.3,5.115,1.2
24,240,5.04,4.8,1,7.8,5.939,0.56
25,420,4.8,4.8,1,7.4,5.916,0.72
26,500,4.83,4.6,1,6.7,5.471,0.47
27,180,4.66,4.72,1,7.2,4.602,0.33
28,270,4.67,4.5,1,6.3,5.043,0.26
29,170,4.72,4.7,1,6.8,5.075,0.76
30,98,5,5.07,1,7.2,4.334,0.8
31,35,4.7,4.8,1,7.7,5.705,2
